"Automatically pay out for Affiliate through the paygate","Automatically pay out for Affiliate through the paygate"
"Applied when transaction is canceled or completed","Applied when transaction is canceled or completed"
"Back","Back"
"Back to Edit","Back to Edit"
"Balance","Balance"
"Balance: %s","Balance: %s"
"Banner Information","Banner Information"
"Banner Manager","Banner Manager"
"New Banner","New Banner"
"Banner Type","Banner Type"
"Banner View","Banner View"
"Banner does not exist","Banner does not exist"
"Banner information","Banner information"
"The banner has been deleted successfully.","The banner has been deleted successfully."
"The banner has been saved successfully.","The banner has been saved successfully."
"Banners","Banners"
"Banner Manager","Banner Manager"
"Both Affiliate program Discount and Shopping cart Discount","Both Affiliate program Discount and Shopping cart Discount"
"CSV","CSV"
"Cancel","Cancel"
"Cancel Withdrawal","Cancel Withdrawal"
"Cancel Withdrawals","Cancel Withdrawals"
"Canceled","Canceled"
"Cannot find any payment method to configure","Cannot find any payment method to configure"
"Captcha code","Captcha code"
"Change Password","Change Password"
"Change status","Change status"
"Checking email address","Checking email address"
"City","City"
"Click/View Fraud Detection Configuration","Click/View Fraud Detection Configuration"
"Clicks","Clicks"
"Commission","Commission"
"Commission Configuration","Commission Configuration"
"Commission Type","Commission Type"
"Commission Type (from 2nd order)","Commission Type (from 2nd order)"
"Commission Value","Commission Value"
"Commission Value (from 2nd order)","Commission Value (from 2nd order)"
"Commission type","Commission type"
"Commissions","Commissions"
"Commission Paid","Commission Paid"
"Complete Manually","Complete Manually"
"Complete Withdrawal","Complete Withdrawal"
"Completed","Completed"
"Complete","Complete"
"Confirm","Confirm"
"Confirm New Password","Confirm New Password"
"Confirm Password","Confirm Password"
"Cookie Expiration (Days)","Cookie Expiration (Days)"
"Copy and paste this source code into your website or forum.","Copy and paste this source code into your website or forum."
"Country","Country"
"Select Welcome page of your Affiliate system","Select Welcome page of your Affiliate system"
"Create Withdrawal","Create Withdrawal"
"Create Your Account","Create Your Account"
"Create and complete Withdrawal","Create and complete Withdrawal"
"Current Balance","Current Balance"
"Current Password","Current Password"
"Custom Url","Custom Url"
"Customer","Customer"
"Customer Email","Customer Email"
"Customer Email Address","Customer Email Address"
"Order ID","Order ID"
"Order Status","Order Status"
"Order Subtotal","Order Subtotal"
"Customer Since","Customer Since"
"DESC","DESC"
"Date","Date"
"Delete","Delete"
"Delete Account","Delete Account"
"Delete Banner","Delete Banner"
"Delete File","Delete File"
"Delete Withdrawal","Delete Withdrawal"
"Detect By Cookie","Detect By Cookie"
"Detect By Iframe","Detect By Iframe"
"Detect By Software","Detect By Software"
"Detect Proxy By Header","Detect Proxy By Header"
"Detect Proxy By IP Bank","Detect Proxy By IP Bank"
"Detect Proxy By gethostbyaddr Function","Detect Proxy By gethostbyaddr Function"
"Detect by Ip address","Detect by Ip address"
"Disabled","Disabled"
"Discount","Discount"
"Discount Configuration","Discount Configuration"
"Discount Type","Discount Type"
"Discount Type (from 2nd order)","Discount Type (from 2nd order)"
"Discount Value","Discount Value"
"Discount Value (from 2nd order)","Discount Value (from 2nd order)"
"Discount on","Discount on"
"Discount displayed","Discount displayed"
"Discount policy","Discount policy"
"Edit","Edit"
"Edit Account ","Edit Account "
"Edit Banner ","Edit Banner "
"Edit Customer","Edit Customer"
"Edit Withdrawal for ","Edit Withdrawal for "
"Edit Withdrawals","Edit Withdrawals"
"Email","Email"
"Email Address","Email Address"
"Email Configuration","Email Configuration"
"Email template of Payment verification","Email template of Payment verification"
"Email template sent to admin when a new affiliate registers","Email template sent to admin when a new affiliate registers"
"Email template sent to admin when a transaction is created","Email template sent to admin when a transaction is created"
"Email template sent to admin when an affiliate requests withdrawal","Email template sent to admin when an affiliate requests withdrawal"
"Email template sent to affiliate account when a transaction is changed","Email template sent to affiliate account when a transaction is changed"
"Send email to affiliates when transaction status is changed","Send email to affiliates when transaction status is changed"
"Email template sent to affiliates when commission of a transaction is reduced","Email template sent to affiliates when commission of a transaction is reduced"
"Email template sent to affiliate when a transaction is created","Email template sent to affiliate when a transaction is created"
"Email template sent to affiliate when withdrawal is processed","Email template sent to affiliate when withdrawal is processed"
"Email template sent to newly approved affiliates","Email template sent to newly approved affiliates"
"Email template sent to newly registered affiliates","Email template sent to newly registered affiliates"
"Email: ","Email: "
"Enabled","Enabled"
"Enter your friends' emails here (separated by comma)","Enter your friends' emails here (separated by comma)"
"Estimated Fee","Estimated Fee"
"Excluding Fee","Excluding Fee"
"The number of days for admin to store cookies of this program. Affiliates and invited customers can receive commission and discount for purchases made through affiliate link within this time.","The number of days for admin to store cookies of this program. Affiliates and invited customers can receive commission and discount for purchases made through affiliate link within this time."
"FORWARDED","FORWARDED"
"Facebook","Facebook"
"Fax","Fax"
"Fee","Fee"
"Fee: ","Fee: "
"Filter:","Filter:"
"First Name","First Name"
"Fixed","Fixed"
"Flash","Flash"
"From","From"
"From Date","From Date"
"General Configuration","General Configuration"
"General Information","General Information"
"Get Affiliate Link","Get Affiliate Link"
"Get Link","Get Link"
"Getting new captcha","Getting new captcha"
"Global","Global"
"Gmail","Gmail"
"Google+","Google+"
"Group","Group"
"History","History"
"History Withdrawal","History Withdrawal"
"History transaction","History transaction"
"Holding period","Holding period"
"ID","ID"
"IP Reset Time (days)","IP Reset Time (days)"
"If "No", system will be faster","If "No", system will be faster"
"Image","Image"
"Import Customer Info","Import Customer Info"
"Including %s tax","Including %s tax"
"Including Fee","Including Fee"
"Including fee","Including fee"
"Please re-enter your current password.","Please re-enter your current password."
"Invalid email address","Invalid email address"
"Invalid email address.","Invalid email address."
"This item does not exist","This item does not exist"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Landing Page","Landing Page"
"Last Name","Last Name"
"Level %d","Level %d"
"Lifetime Sales Commission","Lifetime Sales Commission"
"Link","Link"
"Link: ","Link: "
"Loading...","Loading..."
"Login","Login"
"Please enter your username and password.","Please enter your username and password."
"Login or create an account","Login or create an account"
"Logout","Logout"
"Magestore Extension","Magestore Extension"
"Create your own personal link","Create your own personal link"
"Manage Accounts","Manage Accounts"
"Manage Banners","Manage Banners"
"Manage Payments","Manage Payments"
"Manage Transactions","Manage Transactions"
"Manage Withdrawals","Manage Withdrawals"
"Manual","Manual"
"Material page using CMS","Material page using CMS"
"Referring Materials","Referring Materials"
"Method: ","Method: "
"The minimum balance required to request withdrawal is %s","The minimum balance required to request withdrawal is %s"
"Monthly","Monthly"
"Monthly additional commissions","Monthly additional commissions"
"My Affiliate Account","My Affiliate Account"
"My Balance","My Balance"
"My Balance: ","My Balance: "
"N/A","N/A"
"Name","Name"
"Need admin's approval","Need admin's approval"
"New Account","New Account"
"New Address","New Address"
"New Banner","New Banner"
"New Password","New Password"
"New Withdrawal","New Withdrawal"
"The New Password field is empty. Please enter a new password.","The New Password field is empty. Please enter a new password."
"Next","Next"
"No","No"
"No.","No."
"Not Now","Not Now"
"Not including fee","Not including fee"
"Not verified","Not verified"
"Notification after signing up","Notification after signing up"
"OUR PROGRAM","OUR PROGRAM"
"OUR PROGRAMS","OUR PROGRAMS"
"On Hold","On Hold"
"On product pages","On product pages"
"On shopping cart page","On shopping cart page"
"Only Affiliate program Discount","Only Affiliate program Discount"
"Only Shopping cart Discount","Only Shopping cart Discount"
"For creating a new affiliate account which does not exist in customer database","For creating a new affiliate account which does not exist in customer database"
"Or retrieve contacts from","Or retrieve contacts from"
"Order","Order"
"Order Number","Order Number"
"Page:","Page:"
"PayPal Email Address","PayPal Email Address"
"Paid by Affiliate Credit","Paid by Affiliate Credit"
"The payment has been made successfully.","The payment has been made successfully."
"Password","Password"
"Password can be changed by an affiliate.","Password can be changed by an affiliate."
"Path","Path"
"Pay","Pay"
"Pay Now","Pay Now"
"Pay commission","Pay commission"
"Pay for Order","Pay for Order"
"Pay for Order: ","Pay for Order: "
"Net profit of sale (Pay per Profit)","Net profit of sale (Pay per Profit)"
"Value of items sold (Pay per Sale)","Value of items sold (Pay per Sale)"
"Pay per Sales/ Profit Commission","Pay per Sales/ Profit Commission"
"Pay-per-Profit","Pay-per-Profit"
"Pay-per-Sale","Pay-per-Sale"
"Payer","Payer"
"Payment","Payment"
"Payment Email","Payment Email"
"Payment Info","Payment Info"
"Payment Information","Payment Information"
"Payment Manager","Payment Manager"
"Payment Method","Payment Method"
"Payment Method Information","Payment Method Information"
"New Payment","New Payment"
"Payment by PayPal API","Payment by PayPal API"
"The required payment model is an abstract of class %s!","The required payment model is an abstract of class %s!"
"Payout","Payout"
"Payout Requirements","Payout Requirements"
"Payout for ","Payout for "
"The minimum balance in affiliate account to request withdrawal","The minimum balance in affiliate account to request withdrawal"
"Paypal","Paypal"
"Paypal Email","Paypal Email"
"Paypal Withdrawal method","Paypal Withdrawal method"
"Pending","Pending"
"Percentage","Percentage"
"Personal URL","Personal URL"
"Please choose a valid payment method.","Please choose a valid payment method."
"Please click %s if you have not received your verification email.","Please click %s if you have not received your verification email."
"Please fill out all required fields in the form below.","Please fill out all required fields in the form below."
"The verification code entered is incorrect. Please try again.","The verification code entered is incorrect. Please try again."
"Please fill in one of the links from our store such as: product URL, category URL or other pages\' URL into the text box below:","Please fill in one of the links from our store such as: product URL, category URL or other pages\' URL into the text box below:"
"Please select region, state or province","Please select region, state or province"
"Please specify a payment method","Please specify a payment method"
"Post on Facebook","Post on Facebook"
"Preview: ","Preview: "
"Previous","Previous"
"Process Commission","Process Commission"
"Transaction Process Email","Transaction Process Email"
"Processing","Processing"
"Your message (use the suggestion or write your own)","Your message (use the suggestion or write your own)"
"Your  tweet (use the suggestion or write your own)","Your  tweet (use the suggestion or write your own)"
"Product Name","Product Name"
"Products Name","Products Name"
"Receive notification emails","Receive notification emails"
"Receive email notification","Receive email notification"
"Receive a unique affiliate link","Receive a unique affiliate link"
"Recipient","Recipient"
"Refer Friends and Earn Money","Refer Friends and Earn Money"
"Refer friends email template","Refer friends email template"
"Referrer","Referrer"
"Referrers","Referrers"
"Refresh","Refresh"
"Refunded","Refunded"
"Refunded: ","Refunded: "
"Request Amount","Request Amount"
"Request Date","Request Date"
"Request Information","Request Information"
"Request Payment","Request Payment"
"Request Withdrawal","Request Withdrawal"
"Request withdrawal not allowed at this time.","Request withdrawal not allowed at this time."
"Date Requested","Date Requested"
"Requested time","Requested time"
"Require PayPal email address to sign up","Require PayPal email address to sign up"
"Require address to sign up","Require address to sign up"
"Required Fields","Required Fields"
"Reset Filter","Reset Filter"
"Review your payment and pay","Review your payment and pay"
"Review your request and send","Review your request and send"
"STORE VIEW","STORE VIEW"
"Sale","Sale"
"Sales","Sales"
"Sales Earnings","Sales Earnings"
"Sales Statistic","Sales Statistic"
"Sales Transactions","Sales Transactions"
"Save","Save"
"Save Account","Save Account"
"Save And Continue Edit","Save And Continue Edit"
"Save Banner","Save Banner"
"Save Withdrawal","Save Withdrawal"
"Save and Pay Manually","Save and Pay Manually"
"Search","Search"
"Select website(s) on which affiliates can use commissions to purchase items.","Select website(s) on which affiliates can use commissions to purchase items."
"Select "No" to apply the above commission to all orders","Select "No" to apply the above commission to all orders"
"Select "No" to apply above discount for all orders","Select "No" to apply above discount for all orders"
"Select Account to Create Withdrawal","Select Account to Create Withdrawal"
"Select Contacts","Select Contacts"
"Select Header Variables For Proxy Detection","Select Header Variables For Proxy Detection"
"Select an address from your address book or enter a new address.","Select an address from your address book or enter a new address."
"Select contacts to send email","Select contacts to send email"
"Select default payment method when affiliates request payment","Select default payment method when affiliates request payment"
"Send Email","Send Email"
"Send Request","Send Request"
"Send email to admin when a new affiliate registers","Send email to admin when a new affiliate registers"
"Send email to admin when a transaction is created","Send email to admin when a transaction is created"
"Send email to admin when an affiliate requests withdrawal","Send email to admin when an affiliate requests withdrawal"
"Send email to affiliates when transaction status is changed","Send email to affiliates when transaction status is changed"
"Send email to affiliate when a transaction is created","Send email to affiliate when a transaction is created"
"Send email to new affiliate","Send email to new affiliate"
"Settings","Settings"
"Share","Share"
"Show","Show"
"Show Material page","Show Material page"
"Show Affiliate link in frontend","Show Affiliate link in frontend"
"Sign up for our Newsletters","Sign up for our Newsletters"
"Affiliate Sign-up","Affiliate Sign-up"
"Sign up Affiliate","Sign up Affiliate"
"Affiliate Sign-up Email","Affiliate Sign-up Email"
"Signup","Signup"
"Sign up for an Affiliate Account","Sign up for an Affiliate Account"
"Affiliate Registration","Affiliate Registration"
"Sign-up description","Sign-up description"
"Size: %sx%s","Size: %sx%s"
"Source File","Source File"
"State/Province","State/Province"
"Status","Status"
"Status History","Status History"
"Store","Store"
"Store Credit","Store Credit"
"Store Credits","Store Credits"
"Store Credits History","Store Credits History"
"Store View","Store View"
"Store view","Store view"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Subject","Subject"
"Subtract affiliate account balance immediately when a withdrawal request is created","Subtract affiliate account balance immediately when a withdrawal request is created"
"Subtract commission from account balance when creditmemo is created","Subtract commission from account balance when creditmemo is created"
"Subtract commission from account balance when order status is","Subtract commission from account balance when order status is"
"Tax","Tax"
"Tax Calculation","Tax Calculation"
"Tax class for withdrawal","Tax class for withdrawal"
"Telephone","Telephone"
"Text","Text"
"This account has been disabled.","This account has been disabled."
"The withdrawal requested cannot exceed your current balance (%s).","The withdrawal requested cannot exceed your current balance (%s)."
"The minimum balance allowing withdrawal request is %s","The minimum balance allowing withdrawal request is %s"
"The system will transfer money to your affiliate account immediately through the paygate.","The system will transfer money to your affiliate account immediately through the paygate."
"The withdrawal amount cannot exceed the account balance: %s.","The withdrawal amount cannot exceed the account balance: %s."
"There are no banners available for this program.","There are no banners available for this program."
"There are no items matching this selection.","There are no items matching this selection."
"There are no referrers matching the criteria.","There are no referrers matching the criteria."
"There was an error when paying by PayPal. Please try again or contact us for help.","There was an error when paying by PayPal. Please try again or contact us for help."
"There was an error, please try again.","There was an error, please try again."
"There is no payment method on file for your account. Please update your details or contact us to solve the problem.","There is no payment method on file for your account. Please update your details or contact us to solve the problem."
"This account Name is existed. Please enter other account Name.","This account Name is existed. Please enter other account Name."
"This account has already had a pending payment!","This account has already had a pending payment!"
"This account has one payment waiting need to be processed.","This account has one payment waiting need to be processed."
"This action cannot be restored. Are you sure?","This action cannot be restored. Are you sure?"
"This field will be updated to your profile.","This field will be updated to your profile."
"This message has been posted successfully.","This message has been posted successfully."
"This month","This month"
"This payment is completed successfully.","This payment is completed successfully."
"The payment is being processed","The payment is being processed"
"This payment method is not available, please choose an alternative payment method.","This payment method is not available, please choose an alternative payment method."
"This payout has been transfered successfully!","This payout has been transfered successfully!"
"This payout has not been transfered!","This payout has not been transfered!"
"This week","This week"
"This year","This year"
"Tier Commission","Tier Commission"
"Time","Time"
"Title","Title"
"Title: %s","Title: %s"
"To","To"
"To Account","To Account"
"To Date","To Date"
"Today","Today"
"Total","Total"
"Total %s of %s transaction(s) were canceled successfully.","Total %s of %s transaction(s) were canceled successfully."
"Total Amount","Total Amount"
"Total Clicks","Total Clicks"
"Total Commissions Received","Total Commissions Received"
"Total Commission","Total Commission"
"Total Earnings: ","Total Earnings: "
"Total Orders","Total Orders"
"Total Paid","Total Paid"
"Total Received","Total Received"
"Total Sales","Total Sales"
"Total Transactions: ","Total Transactions: "
"Traffic Source","Traffic Source"
"Traffic Summary","Traffic Summary"
"Traffic sources","Traffic sources"
"Traffic statistics","Traffic statistics"
"Traffics","Traffics"
"Transaction Detail","Transaction Detail"
"Transaction Detail:","Transaction Detail:"
"Transaction ID","Transaction ID"
"Transaction Id: ","Transaction Id: "
"Transaction Information","Transaction Information"
"Transaction Manager","Transaction Manager"
"New Transaction","New Transaction"
"Transaction detail","Transaction detail"
"The transaction does not exist.","The transaction does not exist."
"Transaction was canceled successfully","Transaction was canceled successfully"
"Transactions","Transactions"
"Transaction Manager","Transaction Manager"
"Tweet","Tweet"
"Twitter","Twitter"
"Type","Type"
"Type: Flash","Type: Flash"
"Type: Image","Type: Image"
"Type: Text","Type: Text"
"Unable to find an account to update","Unable to find an account to update"
"Unable to find a banner to save","Unable to find a banner to save"
"Unable to find payment to review","Unable to find payment to review"
"Unable to find payment to save","Unable to find payment to save"
"Unique Clicks","Unique Clicks"
"Unique Clicks","Unique Clicks"
"Use Default","Use Default"
"Use commission as store credit","Use commission as store credit"
"Use different commission from 2nd order of a Customer","Use different commission from 2nd order of a Customer"
"Use different discount from 2nd order of a Customer","Use different discount from 2nd order of a Customer"
"Use money on your affiliate balance","Use money on your affiliate balance"
"Enter an amount in your balance to spend on this order","Enter an amount in your balance to spend on this order"
"Use standard magento image link to track banner","Use standard magento image link to track banner"
"Using API","Using API"
"Used when transaction is canceled, completed or reduced commission","Used when transaction is canceled, completed or reduced commission"
"VIA","VIA"
"Verification","Verification"
"Verification Form","Verification Form"
"Verified","Verified"
"Verify","Verify"
"Verify Domain","Verify Domain"
"View","View"
"View Affiliate Account Details","View Affiliate Account Details"
"View Customer Details","View Customer Details"
"View History","View History"
"View Invoice","View Invoice"
"View Order","View Order"
"View Order Details","View Order Details"
"View Product Details","View Product Details"
"View Transaction","View Transaction"
"View Transaction of ","View Transaction of "
"View Withdrawal for ","View Withdrawal for "
"Waiting","Waiting"
"Thank you for signing up for our Affiliate program. Your registration will be reviewed and we'll inform you as soon as possible.","Thank you for signing up for our Affiliate program. Your registration will be reviewed and we'll inform you as soon as possible."
"Website","Website"
"Weekly","Weekly"
"Welcome To Our Affiliate Program!","Welcome To Our Affiliate Program!"
"Welcome page using CMS","Welcome page using CMS"
"When there's shopping cart discount, apply","When there's shopping cart discount, apply"
"Who pays transaction fee","Who pays transaction fee"
"Withdrawal Amount","Withdrawal Amount"
"Withdrawal Description","Withdrawal Description"
"Withdrawal Email","Withdrawal Email"
"Withdrawal Information","Withdrawal Information"
"Withdrawal Method","Withdrawal Method"
"New Withdrawal","New Withdrawal"
"Withdrawal detail","Withdrawal detail"
"Withdrawal History","Withdrawal History"
"Withdrawal information","Withdrawal information"
"Withdrawal not found!","Withdrawal not found!"
"Withdrawal was successfully canceled!","Withdrawal was successfully canceled!"
"Your withdrawal request has been deleted.","Your withdrawal request has been deleted."
"Your withdrawal request has been saved.","Your withdrawal request has been saved."
"Withdrawals","Withdrawals"
"Withdrawal Configuration","Withdrawal Configuration"
"Withdrawal History","Withdrawal History"
"Withdrawal Manager","Withdrawal Manager"
"XML","XML"
"Yahoo","Yahoo"
"Yearly","Yearly"
"Yearly additional commissions","Yearly additional commissions"
"Yes","Yes"
"You are having a pending request!","You are having a pending request!"
"You have logged in successfully.","You have logged in successfully."
"You are spending","You are spending"
"You are using a trial version of %s extension. It will be expired on %s.","You are using a trial version of %s extension. It will be expired on %s."
"You can change this email address on the Edit Account page.","You can change this email address on the Edit Account page."
"You can use this email address.","You can use this email address."
"You already had an affiliate account, please log in.","You already had an affiliate account, please log in."
"Your account information has been saved.","Your account information has been saved."
"Your affiliate registration is awaiting for approval. Please be patient.","Your affiliate registration is awaiting for approval. Please be patient."
"Your affiliate account is currently disabled. Please contact us to resolve this issue.","Your affiliate account is currently disabled. Please contact us to resolve this issue."
"Your affiliate store credit has been applied successfully","Your affiliate store credit has been applied successfully"
"Your payout was not transfered and saved!","Your payout was not transfered and saved!"
"Your personal affiliate URL","Your personal affiliate URL"
"Your request has been cancelled successfully!","Your request has been cancelled successfully!"
"Your request has been sent to admin for approval.","Your request has been sent to admin for approval."
"Zip/Postal Code","Zip/Postal Code"
"dateinput","dateinput"
"(days). If empty or zero, affiliates' commission will not be hold back.","(days). If empty or zero, affiliates' commission will not be hold back."
"days. 0 or empty is unlimited.","days. 0 or empty is unlimited."
"discount","discount"
"discount on each order","discount on each order"
"discount on each purchased item","discount on each purchased item"
"for next orders","for next orders"
"for the first order of a customer","for the first order of a customer"
"get contacts from gmail","get contacts from gmail"
"get contacts from yahoo","get contacts from yahoo"
"on each purchased item","on each purchased item"
"per page","per page"
"Payment not found!","Payment not found"
"You are having a waiting request!","Your request will be processed as soon as possible. Please be patient."
"Please enter a valid custom url","Enter a custom URL for a product or page you want to promote"
"This url already exists. Please choose another custom url.","You already have a link for that URL, please use it or enter a different URL."
"Your custom url has been saved successfully!","Thank you. Your custom URL has been saved."
"No email address is available!","No email address is available."
"Feedbacks Manager","Feedback Manager"
"Post Feedback","Post Feedback"
"Save","Save"
"Resend","Resend"
"Edit Feedback for ","Edit Feedback for "
"Feedback Code","Feedback Code"
"Extension","Extension"
"Coupon","Coupon"
"Posted","Posted"
"Is Sent","Is Sent"
"Feedback Detail","Feedback Detail"
"Post Message","Post Message"
"View Posted Message","View Posted Message"
"Feedback detail","Feedback details"
"Sent to Magestore.com","Sent to Magestore.com"
"Not sent to Magestore.com","Not sent to Magestore.com"
"for discount","for discount"
"to","to"
"Feedback","Feedback" 
"Attached Files","Attached Files"
"From Admin","From Admin"
"From","From"
"on","on"
"Message","Message"
"version","version"
"Sent","Sent"
"Not Sent","Not Sent"
"1 Domains","1 Domain"
"2 Domains","2 Domains"
"5 Domains","5 Domains"
"10 Domains","10 Domains"
"Unlimited Domain","Unlimited Domains"
"Developer","Developer"
"Enable","Enable"
"Disable","Disable"
"License Info","License Info"
"Extension Feedbacks","Extension Feedback"
"This feedback is already sent to Magestore.com","Your feedback was sent to Magestore.com"
"This feedback had been sent to Magestore.com","Your feedback has been sent to Magestore.com"
"This message is already sent","This message was sent"
"This message had been sent","This message has been sent"
"Item was successfully saved","Item successfully updated"
"Unable to find item to save","Unable to find an item to save"
"Item was successfully deleted","Item successfully deleted"
"for upgrade to","for upgrade to"
"Upgrade Now","Upgrade Now"
"Delete File","Delete File"
"Transaction Detail","Transaction Details"
"Transaction Detail:","Transaction Details:"
"Order Number","Order Number"
"Add More","Add More"
"Sent to","Sent to"
"Purchase now","Purchase now"
"Upgrade License to","Upgrade License to"
"View Price","View Price"
"Select contact to send email","Select contacts email" 
"You can use this suggested message or, better yet, write your own on the popup","You can use the suggested message or write a personalized one"
"There are no data matching this selection.","No data matches the criteria."
"There are no commission matching this selection.","There are no commissions matching the criteria."
"There are no withdrawals matching this selection.","There are no withdrawals matching the criteria."
"Affiliate Type","Calculate commissions based on"
"Affiliate commission type","Affiliate commission type"
"Affiliate commission","Affiliate commission"
"Affiliate discount type","Affiliate discount type"
"Affiliate discount","Affiliate discount"
"Expired Time (days)","Expiry Time (days)"
"Discount type","Discount type"
"Additional Sales Commission","Additional Sales Commission"
"Sales calculation type","Sales calculation type"
"Additional commission type","Additional commission type"
"Enable monthly commission added","Enable additional monthly commission"
"Enable yearly commission added","Enable additional yearly commission"
"Visible in Frontend","Visible on Frontend"
"Refer Friend Configuration","Refer Friend Configuration"
"Personal Url Prefix","Personal URL Prefix"
"Refer Friend Description","Refer Friend Description"
"Sharing Description","Sharing Description"
"Default Content of Invitation Email","Default Content of Invitation Email"
"Yahoo Application ID","Yahoo Application ID"
"Yahoo Consumer Key","Yahoo Consumer Key"
"Yahoo Consumer Secret","Yahoo Consumer Secret"
"Google Consumer Key","Google Consumer Key"
"Google Consumer Secret","Google Consumer Secret"
"Window Live Client ID","Window Live Client ID"
"Window Live Client Secret","Window Live Client Secret"
"Default Shared Message","Default Shared Message"
"Facebook Application ID","Facebook Application ID"
"Facebook Application Secret","Facebook Application Secret"
"Payment Configuration","Payment Configuration"
"Add commission to account balance when order state is","Add commissions to an account balance when order state is"
"Subtract commission from affiliate account balance when credit memo is created","Subtract commission from affiliate account balance when credit memo is created"
"Payment release","Payment release"
"Paypal payment method","Paypal payment method"
"Who pay fees","Who pay fees"
"Scope Configuration","Scope Configuration"
"Account Balance Scope","Account Balance Scope"
"Material Configuration","Promotional Material Configuration"
"Show Material Page","Show Promotional Material Page"
"Material CMS page","Promotional Material CMS page" 
"Email Configuration","Email Configuration"
"Send email to new affiliate account","Send a welcome email to new affiliate accounts" 
"Send email to affiliate account when transaction is created","Email affiliates when transactions are created"
"Send email to sales when transaction is created","Email Sales when transactions are created"
"Send email to affiliate account when transaction is updated (cancel or completed)","Email affiliates when transactions are updated (canceled or completed)"
"Send email to sales when affiliate account requests payment","Email Sales when an affiliate requests payment"
"Email template sent to new affiliate account","Email template sent to new affiliates"
"Email template sent to affiliate account approved","Email template sent to affiliates when they are approved"
"Email template sent to affiliate account when transaction is created","Email template sent to affiliates when transactions are created"
"Email template sent to affiliate account when transaction is updated (cancel or completed)","Email template sent to affiliates when transactions are updated (canceled or completed)"
"Email template sent to sales when affiliate account requests payment","Email template sent to Sales when affiliates request payment"
"Email template sent to account when payment is proceeded","Email template sent to affiliates when payment is approved"
"Send report email to affiliate account","Send periodic reports to affiliates"
